Td	ID	  	Tj	Df	Dd	Db
1129	2294	224	0	905	905
1133	2406	323	784	26	810
1135	2205	153	0	982	982
1148	2298	224	0	924	924
1148	619		470	649	29	678
1165	2272	204	0	961	961
1166	2282	220	0	946	946
1166	2289	223	0	943	943
1166	2276	213	0	953	953
1168	2193	143	0	1025	1025
1168	613		469	0	699	699
1170	2129	74	0	1096	1096
1172	2149	94	0	1078	1078
1175	2135	78	0	1097	1097
1181	596		464	0	717	717
1184	2065	31	10	1143	1153
1190	2171	121	0	1069	1069
1197	2113	64	0	1133	1133
1197	532		405	0	792	792
1200	2141	89	0	1111	1111
1208	2054	25	0	1183	1183
1209	2057	30	0	1179	1179
1234	1		6	0	1228	1228
1469	16		9	3	1457	1460
1561	984		703	858	0	858
1898	2018	14	10	1874	1884
2011	39		27	7	1977	1984
2160	2031	20	15	2125	2140
2223	951		679	1544	0	1544
2223	6		6	1	2216	2217
2228	23		22	3	2203	2206
2276	2083	43	35	2198	2233
2559	2115	64	46	2449	2495
2630	2075	41	29	2560	2589
2709	81		56	14	2639	2653
2739	913		652	2087	0	2087
2744	2050	25	22	2697	2719
2929	5		6	0	2923	2923
2947	2027	16	14	2917	2931
3086	2015	14	8	3064	3072
3089	2078	43	33	3013	3046
3112	2045	24	20	3068	3088
3140	2096	47	39	3054	3093
3147	19		9	3	3135	3138
3147	56		37	10	3100	3110
3168	2053	25	23	3120	3143
3270	2010	10	4	3256	3260
3303	2107	53	43	3207	3250
3359	2165	100	65	3194	3259
3360	2056	30	25	3305	3330
3362	9		7	1	3354	3355
3366	2058	30	26	3310	3336
3377	2013	10	6	3361	3367
3393	2112	64	44	3285	3329
3446	54		37	9	3400	3409
3488	2126	74	47	3367	3414
3581	2049	25	22	3534	3556
3657	880		633	3024	0	3024
3706	2011	10	4	3692	3696
3709	863		629	3080	0	3080
3709	230		157	46	3506	3552
3735	137		99	25	3611	3636
3743	44		30	7	3706	3713
3764	22		22	3	3739	3742
3775	2354	252	134	3389	3523
3790	2025	16	12	3762	3774
3814	2003	3	5	3806	3811
3816	626		472	127	3217	3344
3829	113		85	24	3720	3744
3841	2257	178	97	3566	3663
3983	2177	133	69	3781	3850
3990	2047	24	21	3945	3966
4000	2088	46	36	3918	3954
4002	2400	317	156	3529	3685
4061	20		9	4	4048	4052
4076	2307	226	119	3731	3850
4092	90		66	16	4010	4026
4110	2019	14	11	4085	4096
4152	846		606	3546	0	3546
4179	2108	53	44	4082	4126
4254	8		7	1	4246	4247
4267	2243	174	96	3997	4093
4336	837		602	3734	0	3734
4343	2073	41	29	4273	4302
4344	2172	121	68	4155	4223
4405	2396	304	151	3950	4101
4419	2175	133	69	4217	4286
4419	2181	133	70	4216	4286
4432	2188	135	73	4224	4297
4434	2089	46	37	4351	4388
4451	2194	143	74	4234	4308
4499	2199	149	77	4273	4350
4517	2104	49	42	4426	4468
4519	2206	153	78	4288	4366
4519	2207	153	78	4288	4366
4527	2150	94	60	4373	4433
4555	41		27	8	4520	4528
4560	2158	95	63	4402	4465
4622	68		46	14	4562	4576
4623	70		46	15	4562	4577
4634	830		600	4034	0	4034
4635	140		99	27	4509	4536
4649	2237	165	93	4391	4484
4663	150		105	29	4529	4558
4673	2370	267	143	4263	4406
4686	2242	174	95	4417	4512
4713	2008	10	3	4700	4703
4718	27		22	4	4692	4696
4740	2381	285	146	4309	4455
4743	800		579	4164	0	4164
4769	794		577	4192	0	4192
4776	202		144	40	4592	4632
4777	120		89	24	4664	4688
4792	125		89	25	4678	4703
4806	216		149	41	4616	4657
4811	2079	43	33	4735	4768
4814	2134	78	49	4687	4736
4814	2137	78	50	4686	4736
4822	2043	24	19	4779	4798
4827	2044	24	19	4784	4803
4839	2086	46	35	4758	4793
4841	2399	317	155	4369	4524
4857	2142	89	55	4713	4768
4864	2144	89	56	4719	4775
4878	2656	496	262	4120	4382
4890	2425	338	162	4390	4552
4891	782		569	4322	0	4322
4891	65		46	13	4832	4845
4904	134		99	25	4780	4805
4909	2200	149	77	4683	4760
4935	2100	49	41	4845	4886
4949	2152	94	60	4795	4855
4958	2463	359	174	4425	4599
4999	762		560	4439	0	4439
5000	2012	10	5	4985	4990
5008	2221	161	83	4764	4847
5011	2337	245	130	4636	4766
5027	2343	249	131	4647	4778
5042	2501	384	188	4470	4658
5078	2235	165	92	4821	4913
5079	62		43	12	5024	5036
5085	82		56	14	5015	5029
5106	2028	20	14	5072	5086
5110	166		118	33	4959	4992
5122	219		153	42	4927	4969
5128	2116	64	46	5018	5064
5131	2117	64	47	5020	5067
5139	106		73	21	5045	5066
5143	169		120	33	4990	5023
5166	127		97	24	5045	5069
5181	754		550	4631	0	4631
5186	2574	433	222	4531	4753
5205	728		523	4682	0	4682
5205	151		105	29	5071	5100
5209	243		172	50	4987	5037
5218	2259	191	100	4927	5027
5232	705		506	4726	0	4726
5260	370		291	79	4890	4969
5266	2392	304	149	4813	4962
5279	2267	204	104	4971	5075
5285	2401	317	156	4812	4968
5293	2273	213	105	4975	5080
5316	2284	220	111	4985	5096
5321	299		238	64	5019	5083
5322	704		506	4816	0	4816
5348	2433	344	163	4841	5004
5351	2436	345	164	4842	5006
5351	59		43	12	5296	5308
5355	2314	227	120	5008	5128
5387	2216	156	80	5151	5231
5387	2020	14	11	5362	5373
5390	679		482	4908	0	4908
5403	2159	95	63	5245	5308
5408	2329	241	128	5039	5167
5410	2334	241	129	5040	5169
5415	2219	161	82	5172	5254
5425	174		120	34	5271	5305
5441	677		482	4959	0	4959
5466	341		272	70	5124	5194
5489	661		478	5011	0	5011
5494	652		477	5017	0	5017
5497	2233	165	92	5240	5332
5500	2026	16	13	5471	5484
5503	274		223	59	5221	5280
5514	2066	31	29	5454	5483
5515	2002	3	4	5508	5512
5516	2366	267	142	5107	5249
5563	2034	20	17	5526	5543
5582	2566	426	214	4942	5156
5586	2125	69	48	5469	5517
5586	2036	21	18	5547	5565
5606	2070	41	28	5537	5565
5620	396		311	85	5224	5309
5622	2593	438	233	4951	5184
5625	124		89	24	5512	5536
5639	2924	682	361	4596	4957
5661	651		476	5185	0	5185
5692	2048	24	22	5646	5668
5707	2278	213	107	5387	5494
5710	2411	323	157	5230	5387
5710	436		332	95	5283	5378
5711	2095	47	39	5625	5664
5713	650		476	5237	0	5237
5716	2190	143	73	5500	5573
5718	2195	143	74	5501	5575
5730	2292	223	112	5395	5507
5736	2661	499	264	4973	5237
5739	645		476	5263	0	5263
5762	642		475	5287	0	5287
5766	2313	227	120	5419	5539
5767	636		474	5293	0	5293
5772	2442	348	167	5257	5424
5773	2443	348	168	5257	5425
5778	2201	149	78	5551	5629
5783	2455	353	172	5258	5430
5786	2457	353	173	5260	5433
5792	2693	533	280	4979	5259
5795	25		22	4	5769	5773
5798	603		468	5330	0	5330
5800	283		227	60	5513	5573
5802	2213	156	80	5566	5646
5816	2155	95	61	5660	5721
5819	601		464	5355	0	5355
5825	592		459	5366	0	5366
5827	577		443	5384	0	5384
5847	2342	245	131	5471	5602
5861	386		298	84	5479	5563
5867	2349	249	133	5485	5618
5872	297		238	64	5570	5634
5873	576		443	5430	0	5430
5873	57		43	11	5819	5830
5885	2350	252	133	5500	5633
5896	2806	579	321	4996	5317
5898	2504	388	191	5319	5510
5898	2813	581	321	4996	5317
5899	2814	581	322	4996	5318
5918	2828	596	332	4990	5322
