Td	ID	  	Tj	Df	Dd	Db
289	2421	247	7	35	42
289	2394	229	3	57	60
289	489		284	0	5	5
289	96		66	7	216	223
289	493		286	0	3	3
290	2113	63	14	213	227
290	2377	216	0	74	74
291	2147	80	14	197	211
291	2440	263	3	25	28
291	481		283	0	8	8
292	2117	65	15	212	227
292	2432	250	4	38	42
293	2118	65	15	213	228
293	2392	229	2	62	64
293	2413	245	0	48	48
295	2158	82	15	198	213
295	2399	230	2	63	65
295	2403	231	2	62	64
296	510		292	0	4	4
297	2426	249	6	42	48
297	507		292	0	5	5
298	2471	285	2	11	13
298	2390	229	5	64	69
298	2476	286	0	12	12
299	2475	286	0	13	13
300	2420	247	7	46	53
300	2451	276	7	17	24
300	2484	290	0	10	10
300	197		112	17	171	188
301	2086	48	7	246	253
301	2456	279	9	13	22
302	2459	279	10	13	23
302	2463	280	3	19	22
303	2429	249	1	53	54
304	2229	117	18	169	187
304	511		294	0	10	10
305	2468	283	3	19	22
305	2477	286	5	14	19
306	2457	279	8	19	27
307	2104	56	13	238	251
307	2088	48	8	251	259
307	2465	283	0	24	24
307	516		298	0	9	9
308	2479	286	1	21	22
311	2170	90	14	207	221
312	2136	74	16	222	238
312	2485	295	2	15	17
312	514		294	0	18	18
313	2482	290	5	18	23
313	2481	290	0	23	23
314	2466	283	2	29	31
315	2486	295	0	20	20
316	2141	76	15	225	240
318	2205	107	16	195	211
318	2490	307	0	11	11
318	130		80	8	230	238
320	2498	310	3	7	10
320	2503	311	2	7	9
321	2470	285	0	36	36
321	154		89	14	218	232
321	537		316	0	5	5
322	533		313	0	9	9
322	540		316	0	6	6
322	532		313	0	9	9
324	2106	62	14	248	262
324	2502	311	0	13	13
324	2501	311	0	13	13
324	2493	307	0	17	17
325	2496	310	0	15	15
325	2504	311	0	14	14
325	2497	310	0	15	15
325	2495	310	3	12	15
325	157		90	14	221	235
326	2491	307	1	18	19
326	2461	280	3	43	46
326	534		313	0	13	13
327	2110	63	14	250	264
327	2509	316	0	11	11
329	2149	80	15	234	249
329	2116	65	15	249	264
329	2510	319	0	10	10
329	526		309	0	20	20
329	522		299	0	30	30
329	555		326	0	3	3
330	539		316	0	14	14
331	2099	54	11	266	277
331	2527	325	1	5	6
332	2512	319	1	12	13
333	2191	98	16	219	235
333	2263	132	20	181	201
333	2526	325	0	8	8
334	2530	327	0	7	7
335	2522	324	0	11	11
335	132		82	9	244	253
337	2069	32	7	298	305
337	549		323	0	14	14
338	2529	325	0	13	13
339	2195	100	15	224	239
339	2196	100	16	223	239
339	561		335	0	4	4
339	508		292	5	42	47
340	2198	100	16	224	240
340	2169	86	14	240	254
340	134		82	10	248	258
