Td	ID	  	Tj	Df	Dd	Db
631	2834	612	1	18	19
634	2837	612	0	22	22
635	810		627	0	8	8
636	2849	619	0	17	17
637	2850	619	1	17	18
638	2830	609	2	27	29
638	811		627	0	11	11
640	2854	632	0	8	8
641	2832	609	0	32	32
642	804		626	0	16	16
642	192		153	39	450	489
645	833		640	0	5	5
646	829		640	0	6	6
648	2863	635	0	13	13
648	2864	635	0	13	13
649	809		627	12	10	22
650	2870	640	0	10	10
650	632		531	83	36	119
653	2008	16	3	634	637
653	832		640	2	11	13
654	2892	646	1	7	8
654	840		647	0	7	7
655	727		584	31	40	71
660	2905	652	0	8	8
662	2009	16	3	643	646
663	2897	651	1	11	12
663	93		93	10	560	570
665	2916	655	0	10	10
665	2884	644	0	21	21
666	51		45	11	610	621
667	2900	651	0	16	16
667	852		657	0	10	10
668	2915	655	0	13	13
669	851		657	0	12	12
670	858		659	0	11	11
670	864		662	0	8	8
671	2914	655	1	15	16
672	838		647	5	20	25
674	2924	661	0	13	13
674	856		659	0	15	15
676	2936	669	0	7	7
676	859		659	10	7	17
676	430		349	48	279	327
677	2928	661	0	16	16
677	848		657	0	20	20
678	787		624	0	54	54
678	138		122	16	540	556
680	251		206	190	284	474
681	2923	659	0	22	22
684	2083	73	20	591	611
684	844		656	0	28	28
684	834		647	7	30	37
685	836		647	0	38	38
688	2952	678	0	10	10
689	394		319	78	292	370
691	822		639	46	6	52
692	823		639	0	53	53
696	2942	672	3	21	24
697	2943	672	0	25	25
698	2013	16	4	678	682
705	2948	677	0	28	28
705	522		446	232	27	259
706	2965	682	0	24	24
706	2934	669	1	36	37
707	2986	690	0	17	17
708	902		700	0	8	8
709	805		626	53	30	83
709	862		662	17	30	47
710	2939	672	0	38	38
711	38		33	6	672	678
712	745		600	78	34	112
713	874		667	12	34	46
716	2983	690	0	26	26
716	801		626	53	37	90
717	2975	685	0	32	32
717	922		711	0	6	6
718	2964	682	1	35	36
719	905		702	0	17	17
722	2995	702	0	20	20
723	2998	702	1	20	21
724	2991	692	1	31	32
724	2994	702	0	22	22
724	901		700	0	24	24
725	2993	692	2	31	33
726	2997	702	6	18	24
727	2976	685	0	42	42
728	2911	655	0	73	73
731	88		89	10	632	642
731	90		89	10	632	642
733	110		100	14	619	633
734	2937	669	0	65	65
735	109		100	13	622	635
736	71		73	641	22	663
739	91		89	626	24	650
741	312		250	466	25	491
744	2973	685	38	21	59
744	903		700	16	28	44
745	951		728	0	17	17
746	2907	652	0	94	94
747	2908	652	0	95	95
748	2966	684	0	64	64
749	2876	643	0	106	106
751	2904	652	93	6	99
754	2033	39	9	706	715
754	2882	644	0	110	110
755	2860	632	0	123	123
758	2902	651	0	107	107
758	2840	616	13	129	142
761	966		745	0	16	16
763	131		117	13	633	646
763	987		755	0	8	8
764	972		746	0	18	18
766	977		752	0	14	14
