Td	ID	  	Tj	Df	Dd	Db
1131	630		640	361	130	491
1131	84		72	925	134	1059
1133	257		244	754	135	889
1134	2540	543	0	591	591
1134	197		196	802	136	938
1134	767		757	244	133	377
1136	4045	55	12	1069	1081
1138	4198	206	68	864	932
1141	112		103	19	1019	1038
1142	751		749	393	0	393
1142	4117	118	38	986	1024
1152	2432	447	0	705	705
1154	2434	447	0	707	707
1156	2410	430	0	726	726
1157	117		105	20	1032	1052
1159	2682	671	5	483	488
1160	4075	73	23	1064	1087
1166	4095	99	30	1037	1067
1169	4081	76	25	1068	1093
1173	2429	442	0	731	731
1173	4082	76	25	1072	1097
1179	4021	46	5	1128	1133
1184	4184	188	63	933	996
1185	532		545	640	0	640
1186	4144	141	49	996	1045
1187	2421	439	0	748	748
1187	4023	46	5	1136	1141
1187	4112	106	37	1044	1081
1191	2419	434	0	757	757
1192	469		455	737	0	737
1193	4061	66	18	1109	1127
1193	104		91	18	1084	1102
1194	4147	151	50	993	1043
1200	4202	209	69	922	991
1206	4211	213	71	922	993
1206	4214	213	72	921	993
1207	4094	91	32	1084	1116
1209	2617	609	21	579	600
1210	4009	32	1	1177	1178
1211	4221	217	75	919	994
1212	2751	745	10	457	467
1213	4150	167	52	994	1046
1216	4122	127	40	1049	1089
1235	4245	244	82	909	991
1241	4178	187	61	993	1054
1245	4109	105	36	1104	1140
1251	4145	151	50	1050	1100
1253	202		200	39	1014	1053
1256	4066	69	19	1168	1187
1258	2037	37	4	1217	1221
1259	4088	89	29	1141	1170
1261	4206	212	69	980	1049
1272	455		433	839	0	839
1273	4158	168	54	1051	1105
1274	4124	127	41	1106	1147
1278	2021	29	3	1246	1249
1278	4077	73	23	1182	1205
1281	4096	99	31	1151	1182
1283	2775	790	1	492	493
1283	4080	76	24	1183	1207
1291	4246	244	82	965	1047
1292	346		341	951	0	951
1295	342		328	967	0	967
1295	4179	187	61	1047	1108
1307	111		103	19	1185	1204
1309	4116	118	38	1153	1191
1309	114		103	19	1187	1206
1313	4209	212	70	1031	1101
1314	2022	29	4	1281	1285
1316	274		253	54	1009	1063
1320	4005	32	0	1288	1288
1327	4161	169	56	1102	1158
1333	2602	587	20	726	746
1340	4054	62	16	1262	1278
1345	4110	106	37	1202	1239
1347	2051	53	7	1287	1294
1348	2834	842	3	503	506
1348	4058	64	17	1267	1284
1348	223		213	44	1091	1135
1349	4011	33	1	1315	1316
1353	123		106	22	1225	1247
1354	4196	206	67	1081	1148
1354	4065	69	19	1266	1285
1358	4067	69	20	1269	1289
1360	340		310	1050	0	1050
1361	4091	91	31	1239	1270
1363	4030	48	8	1307	1315
1363	4032	48	8	1307	1315
1364	4071	72	21	1271	1292
1365	4220	217	75	1073	1148
1371	4232	225	77	1069	1146
1378	2029	30	5	1343	1348
1379	4239	238	79	1062	1141
1383	4083	76	25	1282	1307
1389	4176	187	60	1142	1202
1395	268		251	1144	0	1144
1400	2701	685	43	672	715
1401	154		141	26	1234	1260
1404	4119	118	38	1248	1286
1405	4205	212	69	1124	1193
1405	4207	212	70	1123	1193
1409	247		238	50	1121	1171
1410	4121	127	39	1244	1283
1415	2705	691	3	721	724
1416	4162	169	56	1191	1247
1420	4128	130	43	1247	1290
1421	4235	238	78	1105	1183
1423	4131	134	43	1246	1289
1427	2719	701	5	721	726
1434	2692	678	39	717	756
1435	4186	196	62	1177	1239
1436	2738	724	2	710	712
1444	2733	716	7	721	728
1445	4069	69	20	1356	1376
1447	4034	48	9	1390	1399
1449	4225	220	76	1153	1229
1450	4229	220	77	1153	1230
1457	240		220	1237	0	1237
1461	2730	716	19	726	745
1463	2679	664	17	782	799
1463	209		206	41	1216	1257
1467	4249	244	83	1140	1223
1470	178		171	35	1264	1299
1473	4108	105	36	1332	1368
1475	4189	196	63	1216	1279
1476	4024	46	6	1424	1430
1477	4192	200	64	1213	1277
1479	4026	47	7	1425	1432
1479	4027	47	7	1425	1432
1481	4195	206	67	1208	1275
1481	4197	206	67	1208	1275
1481	211		209	42	1230	1272
1485	4092	91	31	1363	1394
1486	37		47	5	1434	1439
1492	4230	225	76	1191	1267
1500	4133	134	44	1322	1366
1502	4101	103	33	1366	1399
1503	4103	103	33	1367	1400
1506	2024	29	4	1473	1477
1509	165		167	1342	0	1342
1511	4185	196	62	1253	1315
1511	227		215	45	1251	1296
1512	4012	33	2	1477	1479
1514	4146	151	50	1313	1363
1515	4028	47	7	1461	1468
1516	4047	55	12	1449	1461
1516	402		391	76	1049	1125
1517	234		217	48	1252	1300
1520	85		72	1448	0	1448
1521	4218	215	73	1233	1306
1521	477		474	91	956	1047
1523	4226	220	76	1227	1303
1524	4152	167	53	1304	1357
1524	239		220	49	1255	1304
1526	4157	168	54	1304	1358
1527	4233	225	77	1225	1302
1532	243		225	49	1258	1307
1539	2737	724	13	802	815
1540	2740	740	39	761	800
1541	42		48	7	1486	1493
1545	2695	682	22	841	863
1545	4114	106	38	1401	1439
1546	47		49	8	1489	1497
1551	2694	678	4	869	873
1556	4153	167	53	1336	1389
1558	2801	806	14	738	752
1558	4234	225	78	1255	1333
1560	4036	49	10	1501	1511
1564	2787	799	10	755	765
1565	4238	238	79	1248	1327
1568	4050	62	14	1492	1506
1568	155		141	26	1401	1427
1570	4174	184	60	1326	1386
1570	4250	246	83	1241	1324
1577	4064	66	19	1492	1511
1579	4115	118	37	1424	1461
1583	4070	72	21	1490	1511
1583	4222	217	75	1291	1366
1586	4159	168	55	1363	1418
1587	4163	169	57	1361	1418
1594	4244	239	81	1274	1355
1594	172		169	34	1391	1425
1594	307		295	60	1239	1299
1595	2745	743	7	845	852
1597	4053	62	15	1520	1535
1599	2880	887	7	705	712
1600	2817	818	6	776	782
1605	4193	200	65	1340	1405
1609	4210	213	71	1325	1396
1610	4090	91	30	1489	1519
1610	4215	215	72	1323	1395
1610	4219	215	74	1321	1395
1611	4223	217	76	1318	1394
1612	4228	220	77	1315	1392
1612	23		33	1	1578	1579
1613	4123	127	40	1446	1486
1614	24		33	1	1580	1581
1619	4130	134	43	1442	1485
1619	4237	238	78	1303	1381
1622	4104	103	34	1485	1519
1623	4172	184	60	1379	1439
1629	4044	52	12	1565	1577
1634	2827	835	2	797	799
1635	4156	168	53	1414	1467
1643	4051	62	15	1566	1581
1643	4247	244	82	1317	1399
1644	4135	140	45	1459	1504
1649	4148	151	51	1447	1498
1650	4085	89	28	1533	1561
1653	2835	845	1	807	808
1653	4073	72	22	1559	1581
1656	134		127	23	1506	1529
1657	2785	799	41	817	858
1658	4016	37	3	1618	1621
1661	2897	903	6	752	758
1661	4171	184	59	1418	1477
1664	4183	188	63	1413	1476
1665	4141	141	47	1477	1524
1666	2045	42	7	1617	1624
1666	4149	151	51	1464	1515
1667	4048	55	13	1599	1612
1667	122		106	21	1540	1561
1672	4076	73	23	1576	1599
